Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
2026-07-21 15:05,OBAMS,5.26,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5.29 (%0.6 üstte),-,8.39-8.75 (%59.5 üstte),-29.61,27.11,94.69,-0.8
2026-07-21 15:05,OYAKC,20.74,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 20.55 (%0.9 altta) | EMA55 Direnç: 21.38 (%3.1 üstte),-,20.72-21.16 (fiyat bandın içinde!),-7.39,50.72,81.21,-0.46
2026-07-21 15:05,TCELL,111.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 109.92 (%1.0 altta),-,119.50-123.40 (%7.7 üstte),5.67,54.0,64.78,0.48
2026-07-21 15:05,ULKER,96.65,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 97.33 (%0.7 üstte),-,-,-11.07,34.34,69.99,-0.61
2026-07-21 18:58,AHSGY,20.9,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 20.49 (%1.9 altta),17.24-19.48 (%6.8 altta),24.19-26.14 (%15.7 üstte),19.62,55.24,45.22,-0.34
2026-07-21 18:58,ASELS,360.0,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 356.86 (%0.9 altta) | EMA100 Direnç: 360.23 (%0.1 üstte),171.28-177.57 (%50.7 altta),-,17.45,45.68,31.07,-0.76
2026-07-21 18:58,BIMAS,393.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 390.45 (%0.7 altta),236.44-244.88 (%37.7 altta),-,18.68,57.75,83.37,0.89
2026-07-21 18:58,ENJSA,106.9,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA100 Destek: 106.43 (%0.4 altta) | EMA55 Direnç: 107.22 (%0.3 üstte),-,-,11.05,54.47,96.66,0.18
2026-07-21 18:58,ENKAI,91.2,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 90.64 (%0.6 altta) | EMA21 Direnç: 91.44 (%0.3 üstte),-,110.50-113.50 (%21.2 üstte),5.5,47.72,66.77,-0.49
2026-07-21 18:58,GLRMK,159.5,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 160.52 (%0.6 üstte),150.00-161.40 (fiyat bandın içinde!),195.30-205.40 (%22.4 üstte),-9.98,38.39,76.27,-0.76
2026-07-21 18:58,IZENR,9.4,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 9.12 (%3.0 altta) | EMA21 Direnç: 9.42 (%0.2 üstte),-,-,-3.7,47.52,71.01,-0.56
2026-07-21 18:58,MGROS,636.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 635.58 (%0.1 altta) | EMA100 Direnç: 641.12 (%0.8 üstte),415.39-429.68 (%32.4 altta),693.50-706.00 (%9.0 üstte),7.1,45.05,85.34,-0.28
2026-07-21 18:58,MIATK,32.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🩸 ASIL SİNYAL: GÜÇLÜ SAT (EMA Çöktü + SSL Onay),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 33.02 (%2.2 üstte),-,-,-20.14,32.58,71.04,-0.61
2026-07-21 18:58,MPARK,410.0,🔴 Düşüş Trendinde,⏳ BEKLE,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 410.24 (%0.1 üstte),-,-,-0.06,41.9,61.31,-0.32
2026-07-21 18:58,OBAMS,5.19,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 5.27 (%1.5 üstte),-,8.39-8.75 (%61.7 üstte),-30.54,26.05,91.98,-0.81
2026-07-21 18:58,OYAKC,21.02,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 20.58 (%2.1 altta) | EMA55 Direnç: 21.39 (%1.7 üstte),-,20.72-21.16 (fiyat bandın içinde!),-6.15,54.04,81.21,-0.35
2026-07-21 18:58,TCELL,111.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 110.09 (%1.3 altta),-,119.50-123.40 (%7.2 üstte),6.14,54.94,66.62,0.49
2026-07-21 18:58,ULKER,96.0,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 97.11 (%1.2 üstte),-,-,-11.66,33.03,66.5,-0.64
