Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum
2026-07-24 21:56,AHSGY,20.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 19.42 (%2.9 altta) | EMA5 Direnç: 20.02 (%0.1 üstte),5.35-5.78 (%71.1 altta),-,-,53.32,32.53,0.09,
2026-07-24 21:56,ASELS,380.25,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 374.13 (%1.6 altta),-,-,153.36,55.57,5.93,-0.65,
2026-07-24 21:56,BIMAS,380.25,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 377.73 (%0.7 altta),-,-,80.06,57.7,33.22,-0.27,
2026-07-24 21:56,ENJSA,105.4,🟢 Yükseliş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 104.77 (%0.6 altta) | EMA21 Direnç: 106.55 (%1.1 üstte),49.53-62.47 (%40.7 altta),-,75.47,50.72,6.49,-0.91,
2026-07-24 21:56,ENKAI,88.8,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 84.07 (%5.3 altta) | EMA5 Direnç: 91.03 (%2.5 üstte),-,-,66.68,45.92,0.59,-0.91,
2026-07-24 21:56,GLRMK,163.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 165.94 (%1.6 üstte),-,-,-,44.31,2.89,-0.85,
2026-07-24 21:56,IZENR,10.0,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 9.92 (%0.8 altta),4.20-4.54 (%54.6 altta),-,-,50.84,21.67,-0.58,
2026-07-24 21:56,MGROS,623.0,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 588.14 (%5.6 altta) | EMA21 Direnç: 638.03 (%2.4 üstte),150.78-162.32 (%73.9 altta),-,55.58,48.84,4.38,-0.33,
2026-07-24 21:56,MIATK,33.64,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 31.69 (%5.8 altta) | EMA5 Direnç: 35.59 (%5.8 üstte),-,56.45-65.75 (%67.8 üstte),6.15,40.4,7.87,-0.63,
2026-07-24 21:56,MPARK,402.25,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 366.16 (%9.0 altta) | EMA55 Direnç: 405.66 (%0.8 üstte),6.00-71.00 (%82.3 altta),-,51.37,43.08,0.0,-0.77,
