Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-13 09:49,OBASE,41.36,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 39.69 (%4.0 altta),30.84-32.00 (%22.6 altta),-,57.2,71.96,0.37
2026-07-13 09:49,ODAS,8.29,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 8.24 (%0.6 altta),5.09-5.21 (%37.2 altta),-,52.84,9.82,-0.71
2026-07-13 09:49,ODINE,1980.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 1941.15 (%2.0 altta),-,-,70.52,42.33,0.64
2026-07-13 09:49,OFSYM,54.8,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 55.72 (%1.7 üstte),-,73.80-77.40 (%34.7 üstte),40.29,16.98,-0.6
2026-07-13 09:49,ONCSM,252.25,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 247.64 (%1.8 altta) | EMA21 Direnç: 255.98 (%1.5 üstte),-,-,42.77,56.44,-0.67
2026-07-13 09:49,ONRYT,63.25,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 64.25 (%1.6 üstte),59.25-60.40 (%4.5 altta),-,43.97,25.53,0.16
2026-07-13 09:49,ORCAY,4.3,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA100 Destek: 4.29 (%0.2 altta) | EMA200 Direnç: 5.24 (%21.7 üstte),3.14-3.26 (%24.2 altta),10.00-10.95 (%132.6 üstte),53.08,80.53,0.39
2026-07-13 09:49,ORGE,108.5,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 107.64 (%0.8 altta) | EMA21 Direnç: 111.29 (%2.6 üstte),64.10-67.70 (%37.6 altta),-,47.67,8.26,-0.86
2026-07-13 09:49,ORMA,177.2,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 177.71 (%0.3 üstte),151.80-158.00 (%10.8 altta),-,39.0,43.09,-0.87
2026-07-13 09:49,ORZAX,89.15,-,-,-,-,-,-,-,-,-,-,,,
2026-07-13 09:49,OSMEN,8.38,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA200 Destek: 8.34 (%0.5 altta) | EMA5 Direnç: 8.67 (%3.5 üstte),-,8.65-9.44 (%3.3 üstte),52.5,17.45,0.46
