Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,RSI,StochRSI,TSI
2026-07-17 21:34,ORCAY,4.11,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Direnç: 4.20 (%2.2 üstte),-,8.38-10.95 (%103.9 üstte),46.22,57.79,0.21
2026-07-17 21:34,ORGE,104.9,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 97.13 (%7.4 altta) | EMA5 Direnç: 109.96 (%4.8 üstte),-,-,60.38,22.56,0.81
2026-07-17 21:34,ORMA,175.0,🩸 SAT (Trend Kırıldı),🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 142.18 (%18.8 altta) | EMA100 Direnç: 176.18 (%0.7 üstte),142.40-154.00 (%12.0 altta),202.10-273.75 (%15.5 üstte),46.85,18.68,0.19
2026-07-17 21:34,ORZAX,100.3,-,-,-,-,-,-,-,-,-,-,,,
2026-07-17 21:34,OSMEN,8.36,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 8.21 (%1.7 altta) | EMA55 Direnç: 12.79 (%53.0 üstte),-,296.98-371.58 (%3452.4 üstte),53.38,89.36,0.38
2026-07-17 21:34,OSTIM,1.78,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,EMA200 Destek: 1.66 (%6.6 altta) | EMA5 Direnç: 1.88 (%5.4 üstte),0.28-0.33 (%81.6 altta),2.89-3.36 (%62.3 üstte),35.14,0.99,-0.83
2026-07-17 21:34,OTKAR,328.25,🔴 Düşüş Trendinde,🔴 SAT,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,🚨Fiyat Bandın Altında!,EMA200 Direnç: 348.53 (%6.2 üstte),-,485.00-540.00 (%47.8 üstte),37.98,37.02,-0.76
2026-07-17 21:34,OTTO,186.0,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 192.67 (%3.6 üstte),-,457.75-507.50 (%146.1 üstte),31.06,19.73,-0.94
2026-07-17 21:34,OYAKC,20.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 16.26 (%19.5 altta) | EMA5 Direnç: 20.63 (%2.1 üstte),-,-,37.49,5.45,-0.87
2026-07-17 21:34,OYAYO,47.78,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 47.37 (%0.8 altta) | EMA5 Direnç: 48.49 (%1.5 üstte),5.66-6.60 (%86.2 altta),-,45.27,24.64,-0.78
2026-07-17 21:34,OYLUM,8.25,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA200 Destek: 7.35 (%10.9 altta) | EMA5 Direnç: 8.29 (%0.5 üstte),-,-,46.59,57.06,-0.24
2026-07-17 21:34,OYYAT,38.46,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 36.81 (%4.3 altta) | EMA5 Direnç: 41.29 (%7.4 üstte),24.21-30.54 (%20.6 altta),-,35.89,0.0,-0.97
2026-07-17 21:34,OZATD,2695.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,-,-,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 2049.14 (%24.0 altta),-,-,94.95,82.75,0.97
2026-07-17 21:34,OZGYO,2.14,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 2.01 (%6.0 altta) | EMA21 Direnç: 2.14 (%0.2 üstte),1.02-1.29 (%39.7 altta),-,50.55,11.22,-0.12
2026-07-17 21:34,OZKGY,13.49,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 13.26 (%1.7 altta) | EMA21 Direnç: 13.63 (%1.1 üstte),-,14.41-15.77 (%6.8 üstte),49.3,52.05,0.66
2026-07-17 21:34,OZRDN,31.78,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 31.04 (%2.3 altta),7.45-8.05 (%74.7 altta),-,55.77,23.4,-0.55
