Tarih,Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI,BB_Bant_Durum,EMA_Durumu
2026-07-20 15:58,A1CAP,9.74,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 9.88 (%1.4 üstte),-,-,-17.68,38.53,1.66,-0.85,,
2026-07-20 15:58,A1YEN,3.01,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 2.98 (%0.9 altta) | EMA200 Direnç: 3.02 (%0.4 üstte),2.60-2.70 (%10.2 altta),-,-0.43,46.82,88.56,0.08,,
2026-07-20 15:58,AAGYO,14.78,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 14.92 (%0.9 üstte),-,18.23-20.20 (%23.3 üstte),-,32.84,66.63,-0.85,,
2026-07-20 15:58,ACSEL,129.1,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 124.80 (%3.3 altta) | EMA5 Direnç: 129.39 (%0.2 üstte),-,-,3.44,39.63,21.84,-0.86,,
2026-07-20 15:58,ADEL,30.92,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 30.44 (%1.6 altta) | EMA21 Direnç: 31.16 (%0.8 üstte),28.88-31.00 (fiyat bandın içinde!),32.88-33.92 (%6.3 üstte),-9.43,44.36,80.65,-0.72,,
2026-07-20 15:58,ADESE,0.93,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 0.92 (%0.7 altta) | EMA21 Direnç: 0.95 (%2.1 üstte),-,4.13-4.42 (%344.1 üstte),-45.92,41.22,76.24,-0.77,,
2026-07-20 15:58,ADGYO,50.85,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 50.67 (%0.4 altta) | EMA21 Direnç: 52.42 (%3.1 üstte),-,59.15-65.10 (%16.3 üstte),-4.09,40.9,40.14,-0.89,,
2026-07-20 15:58,AEFES,21.34,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 20.78 (%2.6 altta),13.26-13.70 (%35.8 altta),-,17.91,59.61,77.51,0.02,,
2026-07-20 15:58,AFYON,13.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 12.97 (%0.2 altta) | EMA55 Direnç: 13.13 (%1.0 üstte),12.48-12.81 (%1.5 altta),14.11-14.46 (%8.5 üstte),0.53,50.19,78.04,-0.02,,
2026-07-20 15:58,AGESA,244.7,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 242.16 (%1.0 altta),-,-,12.05,52.46,62.78,-0.64,,
2026-07-20 15:58,AGHOL,35.44,🔥 AL (Taze Kırılım),🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 34.14 (%3.7 altta),-,-,13.94,61.58,85.03,0.08,,
2026-07-20 15:58,AGROT,2.58,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.54 (%1.6 altta) | EMA21 Direnç: 2.62 (%1.4 üstte),-,3.16-3.28 (%22.5 üstte),-19.62,43.07,93.11,-0.67,,
2026-07-20 15:58,AGYO,7.65,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 7.66 (%0.2 üstte),7.01-7.14 (%6.7 altta),-,-4.48,37.05,44.65,-0.82,,
2026-07-20 15:58,AHGAZ,35.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 33.28 (%5.4 altta) | EMA21 Direnç: 35.77 (%1.6 üstte),21.30-22.34 (%36.5 altta),-,18.12,49.12,5.71,-0.41,,
2026-07-20 15:58,AHSGY,20.82,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 20.40 (%2.0 altta),17.24-19.48 (%6.4 altta),24.19-26.14 (%16.2 üstte),19.38,54.6,45.41,-0.24,,
2026-07-20 15:58,AKBNK,67.6,🔴 Düşüş Trendinde,🔴 SAT,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 68.12 (%0.8 üstte),55.04-58.43 (%13.6 altta),86.96-90.21 (%28.6 üstte),-3.1,37.47,10.41,-0.95,,
2026-07-20 15:58,AKCNS,239.1,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 237.57 (%0.6 altta),122.28-124.96 (%47.7 altta),-,30.4,60.85,76.49,0.71,,
2026-07-20 15:58,AKENR,10.88,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.92 (%0.4 üstte),10.02-10.18 (%6.4 altta),-,-4.91,40.57,74.95,-0.65,,
2026-07-20 15:58,AKFGY,2.78,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 2.77 (%0.3 altta) | EMA55 Direnç: 2.79 (%0.5 üstte),2.50-2.60 (%6.5 altta),2.80-2.86 (%0.7 üstte),-0.82,51.24,91.44,0.19,,
2026-07-20 15:58,AKFIS,88.7,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 83.35 (%6.0 altta) | EMA5 Direnç: 90.68 (%2.2 üstte),20.04-20.40 (%77.0 altta),-,93.67,59.84,46.9,0.77,,
2026-07-20 15:58,AKFYE,28.1,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 25.70 (%8.5 altta),19.98-22.28 (%20.7 altta),-,35.49,66.51,83.34,0.58,,
2026-07-20 15:58,AKGRT,7.07,🔴 Düşüş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 7.09 (%0.3 üstte),5.98-6.11 (%13.6 altta),8.35-8.71 (%18.1 üstte),-1.23,45.98,50.35,-0.13,,
2026-07-20 15:58,AKHAN,41.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,-,-,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 39.33 (%5.2 altta),-,-,-,80.08,100.0,0.93,,
2026-07-20 15:58,AKMGY,253.25,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 252.98 (%0.1 altta),-,-,8.0,51.63,49.66,0.06,,
2026-07-20 15:58,AKSA,12.57,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 12.22 (%2.8 altta),9.21-9.36 (%25.5 altta),-,17.85,61.99,93.49,0.31,,
2026-07-20 15:58,AKSEN,108.9,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 102.29 (%6.1 altta),-,-,56.93,83.02,100.0,0.95,,
2026-07-20 15:58,AKSGY,9.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 9.63 (%0.7 altta),-,-,16.21,58.99,72.93,0.53,,
2026-07-20 15:58,AKSUE,45.66,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 44.62 (%2.3 altta),15.59-16.30 (%64.3 altta),-,56.89,65.62,48.15,0.62,,
2026-07-20 15:58,AKYHO,2.43,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 2.45 (%1.0 üstte),-,3.11-3.26 (%28.0 üstte),-14.94,37.31,28.72,-0.56,,
2026-07-20 15:58,ALARK,109.2,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 104.71 (%4.1 altta),90.70-96.00 (%12.1 altta),114.50-117.00 (%4.9 üstte),12.94,62.75,77.78,-0.2,,
2026-07-20 15:58,ALBRK,8.19,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 8.13 (%0.8 altta) | EMA200 Direnç: 8.22 (%0.3 üstte),7.48-7.62 (%6.9 altta),8.77-8.99 (%7.1 üstte),-0.35,51.04,93.54,-0.29,,
2026-07-20 15:58,ALCAR,918.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 903.70 (%1.6 altta),-,924.50-1010.00 (%0.7 üstte),8.59,65.99,80.32,0.85,,
2026-07-20 15:58,ALCTL,157.8,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 151.19 (%4.2 altta),122.00-129.30 (%18.1 altta),-,19.77,57.36,57.08,-0.37,,
2026-07-20 15:58,ALFAS,46.14,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 45.78 (%0.8 altta) | EMA200 Direnç: 46.32 (%0.4 üstte),35.98-36.78 (%20.3 altta),-,-0.39,42.17,83.43,-0.63,,
2026-07-20 15:58,ALGYO,3.79,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 3.65 (%3.6 altta) | EMA21 Direnç: 4.04 (%6.6 üstte),2.86-2.95 (%22.2 altta),7.40-7.82 (%95.3 üstte),-19.69,36.07,100.0,-0.54,,
2026-07-20 15:58,ALKA,9.47,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 9.31 (%1.7 altta) | EMA55 Direnç: 9.91 (%4.6 üstte),-,10.99-12.35 (%16.1 üstte),-9.83,51.18,93.02,-0.37,,
2026-07-20 15:58,ALKIM,17.61,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 17.52 (%0.5 altta) | EMA21 Direnç: 17.67 (%0.3 üstte),-,-,-3.53,48.27,76.72,-0.29,,
2026-07-20 15:58,ALKLC,401.5,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 393.53 (%2.0 altta),66.90-70.55 (%82.4 altta),-,60.08,70.78,92.65,0.95,,
2026-07-20 15:58,ALTNY,16.83,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA200 Destek: 16.47 (%2.2 altta),14.21-14.53 (%13.7 altta),-,2.21,54.4,21.73,-0.64,,
2026-07-20 15:58,ALVES,2.43,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 2.45 (%0.9 üstte),2.40-2.46 (fiyat bandın içinde!),3.72-4.08 (%53.1 üstte),-18.58,33.09,25.33,-0.9,,
2026-07-20 15:58,ANELE,97.9,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 89.11 (%9.0 altta) | EMA5 Direnç: 100.92 (%3.1 üstte),-,-,93.18,47.21,36.87,-0.46,,
2026-07-20 15:58,ANGEN,10.34,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 10.29 (%0.5 altta) | EMA21 Direnç: 10.49 (%1.5 üstte),10.11-10.36 (fiyat bandın içinde!),10.38-11.53 (%0.4 üstte),-8.65,44.78,51.64,-0.55,,
2026-07-20 15:58,ANHYT,103.4,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 101.56 (%1.8 altta) | EMA55 Direnç: 103.58 (%0.2 üstte),-,115.40-120.20 (%11.6 üstte),4.68,54.85,100.0,-0.22,,
2026-07-20 15:58,ANSGR,28.08,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 27.90 (%0.6 altta),19.30-19.79 (%29.5 altta),-,10.73,54.22,98.14,0.84,,
2026-07-20 15:58,ARASE,123.6,🟢 Yükseliş Trendinde,⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 119.83 (%3.0 altta) | EMA5 Direnç: 123.89 (%0.2 üstte),48.94-50.81 (%58.9 altta),-,39.93,59.93,62.13,0.88,,
2026-07-20 15:58,ARCLK,99.3,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 98.47 (%0.8 altta) | EMA21 Direnç: 99.83 (%0.5 üstte),-,112.60-116.70 (%13.4 üstte),-11.15,46.05,78.77,-0.46,,
2026-07-20 15:58,ARDYZ,68.35,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 67.91 (%0.6 altta),-,-,49.4,59.01,68.02,0.84,,
2026-07-20 15:58,ARENA,25.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 25.28 (%1.1 üstte),24.16-24.84 (%0.6 altta),36.02-39.48 (%44.1 üstte),-15.36,35.19,12.23,-0.89,,
2026-07-20 15:58,ARFYE,31.42,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,-,🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 31.31 (%0.4 altta),23.60-25.36 (%19.3 altta),-,-,55.81,75.89,-0.03,,
2026-07-20 15:58,ARMGD,194.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 185.61 (%4.6 altta),72.05-78.00 (%59.9 altta),-,92.9,68.99,39.17,0.16,,
2026-07-20 15:58,ARSAN,3.6,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 3.56 (%1.1 altta),-,4.51-4.96 (%25.3 üstte),6.62,57.83,88.55,0.58,,
2026-07-20 15:58,ARTMS,42.12,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 41.99 (%0.3 altta) | EMA21 Direnç: 42.18 (%0.1 üstte),-,-,3.05,49.49,20.25,-0.7,,
2026-07-20 15:58,ARZUM,1.9,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 1.91 (%0.4 üstte),-,5.34-5.47 (%181.1 üstte),-30.54,37.21,57.4,-0.6,,
2026-07-20 15:58,ASELS,359.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 356.96 (%0.7 altta) | EMA100 Direnç: 360.33 (%0.2 üstte),171.28-177.57 (%50.6 altta),-,17.48,45.32,33.92,-0.48,,
2026-07-20 15:58,ASGYO,12.19,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 12.18 (%0.1 altta) | EMA21 Direnç: 12.24 (%0.4 üstte),10.26-10.48 (%14.0 altta),13.75-14.03 (%12.8 üstte),4.4,49.78,16.51,-0.29,,
2026-07-20 15:58,ASTOR,297.75,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 292.28 (%1.8 altta) | EMA5 Direnç: 303.83 (%2.0 üstte),271.00-283.75 (%4.7 altta),331.75-363.50 (%11.4 üstte),42.88,47.81,31.03,0.27,,
2026-07-20 15:58,ASUZU,55.3,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 54.33 (%1.8 altta) | EMA21 Direnç: 56.28 (%1.8 üstte),-,65.72-72.87 (%18.8 üstte),-6.91,43.34,74.21,-0.76,,
2026-07-20 15:58,ATAGY,11.75,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 11.80 (%0.4 üstte),-,13.82-14.20 (%17.6 üstte),-10.79,42.01,41.2,-0.51,,
2026-07-20 15:58,ATAKP,54.75,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 53.65 (%2.0 altta),-,59.85-61.24 (%9.3 üstte),3.2,57.56,100.0,0.31,,
2026-07-20 15:58,ATATP,244.6,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 228.15 (%6.7 altta),138.94-141.63 (%42.1 altta),-,43.39,65.45,83.54,0.54,,
2026-07-20 15:58,ATATR,15.98,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 15.91 (%0.4 altta) | EMA21 Direnç: 16.02 (%0.3 üstte),-,-,-,48.89,89.35,-0.3,,
2026-07-20 15:58,ATEKS,127.9,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 126.27 (%1.3 altta),79.45-87.90 (%31.3 altta),-,27.98,55.13,31.59,0.04,,
2026-07-20 15:58,ATLAS,8.1,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 8.06 (%0.4 altta),5.80-5.97 (%26.3 altta),-,9.43,52.44,73.09,-0.02,,
2026-07-20 15:58,ATSYH,121.5,🟢 Yükseliş Trendinde,⏳ BEKLE,🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 111.31 (%8.4 altta) | EMA5 Direnç: 122.46 (%0.8 üstte),48.64-50.00 (%58.8 altta),-,62.51,63.81,42.53,0.82,,
2026-07-20 15:58,AVGYO,16.33,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 15.48 (%5.2 altta),9.33-9.58 (%41.3 altta),-,22.89,59.97,37.53,0.5,,
2026-07-20 15:58,AVHOL,40.92,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 40.58 (%0.8 altta) | EMA200 Direnç: 41.52 (%1.5 üstte),34.62-35.40 (%13.5 altta),-,-1.44,52.9,99.38,0.68,,
2026-07-20 15:58,AVOD,4.13,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 4.15 (%0.4 üstte),3.42-3.55 (%14.0 altta),4.36-4.95 (%5.6 üstte),-3.29,43.35,62.39,-0.24,,
2026-07-20 15:58,AVPGY,54.2,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 53.93 (%0.5 altta) | EMA21 Direnç: 55.27 (%2.0 üstte),46.71-48.43 (%10.7 altta),-,-2.83,42.79,54.45,-0.77,,
2026-07-20 15:58,AVTUR,15.69,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 15.49 (%1.3 altta) | EMA21 Direnç: 16.12 (%2.7 üstte),14.31-14.99 (%4.5 altta),19.73-21.34 (%25.7 üstte),-6.36,42.83,56.46,-0.84,,
2026-07-20 15:58,AYCES,503.0,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 514.44 (%2.3 üstte),406.00-421.25 (%16.3 altta),-,-11.24,32.9,5.0,-0.98,,
