Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
A1CAP,9.91,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 10.05 (%1.4 üstte),9.82-10.07 (fiyat bandın içinde!),-,🟢Fiyat EMA 200 altında! Uzaklık: -16.378797478382833,40.53,2.18,-0.74
A1YEN,3.07,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 3.03 (%1.2 altta) | EMA100 Direnç: 3.14 (%2.1 üstte),2.60-2.70 (%12.0 altta),-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.5280082943186502,49.83,85.24,-0.34
AAGYO,15.22,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,-,-,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 15.06 (%1.0 altta) | EMA21 Direnç: 15.71 (%3.2 üstte),-,18.23-20.20 (%19.7 üstte),-,37.52,50.48,-0.88
ACSEL,130.3,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 124.81 (%4.2 altta) | EMA5 Direnç: 130.40 (%0.1 üstte),-,-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 4.399832179426344,39.97,15.24,-0.72
ADEL,30.5,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 30.29 (%0.7 altta) | EMA21 Direnç: 31.31 (%2.6 üstte),28.88-31.00 (fiyat bandın içinde!),32.88-33.92 (%7.8 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -10.946165933074303,38.52,45.06,-0.8
ADESE,0.93,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 0.92 (%1.1 altta) | EMA21 Direnç: 0.95 (%2.6 üstte),-,4.13-4.42 (%344.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -46.24864677623513,39.92,31.95,-0.92
ADGYO,50.7,🔴 Düşüş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 50.87 (%0.3 üstte),-,59.15-65.10 (%16.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -4.384167595048338,38.7,25.92,-0.87
AEFES,20.76,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 20.44 (%1.5 altta),13.26-13.70 (%34.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.06075616202458,53.94,39.0,-0.71
AFYON,13.11,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 12.98 (%1.0 altta) | EMA55 Direnç: 13.15 (%0.3 üstte),12.48-12.81 (%2.3 altta),14.11-14.46 (%7.6 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.341380285087479,52.41,74.95,-0.37
AGESA,233.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 217.82 (%6.7 altta) | EMA5 Direnç: 234.29 (%0.3 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 7.199609599436396,37.67,8.33,-0.95
AGHOL,34.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 33.29 (%2.1 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 9.570498618943413,54.52,54.65,-0.31
AGROT,2.56,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.52 (%1.5 altta) | EMA21 Direnç: 2.63 (%2.7 üstte),-,3.16-3.28 (%23.4 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -20.524903425392537,38.44,62.99,-0.89
AGYO,7.65,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 7.68 (%0.4 üstte),7.01-7.14 (%6.7 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -4.641565059201169,37.05,26.81,-0.7
AHGAZ,36.22,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 35.92 (%0.8 altta) | EMA5 Direnç: 36.73 (%1.4 üstte),21.30-22.34 (%38.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 21.94858700457607,53.88,28.2,-0.21
AHSGY,20.1,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 20.01 (%0.4 altta) | EMA21 Direnç: 20.12 (%0.1 üstte),17.24-19.48 (%3.1 altta),24.19-26.14 (%20.3 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.879551439757101,50.09,47.75,0.18
AKBNK,68.6,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 69.33 (%1.1 üstte),55.04-58.43 (%14.8 altta),86.96-90.21 (%26.8 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -1.7562994539465193,37.75,11.99,-0.94
AKCNS,241.3,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🟡 RİSKLİ AL (0 Üstü - Hacimsiz),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 236.05 (%2.2 altta),122.28-124.96 (%48.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 32.29273486564885,62.86,88.78,0.76
AKENR,11.01,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 10.91 (%0.9 altta) | EMA200 Direnç: 11.45 (%4.0 üstte),10.02-10.18 (%7.5 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -3.8634038895121736,41.77,45.3,-0.82
AKFGY,2.8,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 2.79 (%0.2 altta) | EMA200 Direnç: 2.80 (%0.1 üstte),2.50-2.60 (%7.1 altta),2.80-2.86 (fiyat bandın içinde!),🟢Fiyat EMA 200 altında! Uzaklık: -0.14232014122169678,53.35,85.23,-0.34
AKFIS,97.3,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🚀 ASIL SİNYAL: GÜÇLÜ AL (EMA Sıralı + SSL Onay),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 92.01 (%5.4 altta),20.04-20.40 (%79.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 116.0407343101129,73.63,85.9,0.9
AKFYE,24.4,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 23.91 (%2.0 altta),19.98-22.28 (%8.7 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 18.313002907732102,53.14,44.8,0.39
AKGRT,7.22,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA200 Destek: 7.16 (%0.9 altta) | EMA55 Direnç: 7.23 (%0.1 üstte),5.98-6.11 (%15.4 altta),8.35-8.71 (%15.7 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 0.8751137197213099,53.39,74.07,-0.13
AKHAN,39.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,-,-,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 37.07 (%5.0 altta),-,-,-,74.73,88.39,0.84
AKMGY,243.2,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 234.18 (%3.7 altta) | EMA5 Direnç: 245.55 (%1.0 üstte),-,-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 3.851255429291678,43.98,38.54,0.04
AKSA,12.13,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 11.88 (%2.1 altta),9.21-9.36 (%22.8 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 14.171188538507252,56.92,51.33,-0.04
AKSEN,102.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 95.48 (%7.0 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 49.61214270993366,79.07,100.0,0.9
AKSGY,9.65,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 9.58 (%0.7 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.950808154132678,57.43,30.8,-0.02
AKSUE,44.4,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 44.18 (%0.5 altta),15.59-16.30 (%63.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 53.97384143559907,63.14,54.25,0.77
AKYHO,2.47,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 2.48 (%0.4 üstte),-,3.11-3.26 (%25.9 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -13.755006549903182,41.12,38.38,-0.1
ALARK,104.1,🟢 Yükseliş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 102.08 (%1.9 altta),90.70-96.00 (%7.8 altta),114.50-117.00 (%10.0 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 7.912405115040677,54.45,31.13,-0.75
ALBRK,8.12,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 8.00 (%1.5 altta) | EMA21 Direnç: 8.13 (%0.1 üstte),7.48-7.62 (%6.1 altta),8.77-8.99 (%8.0 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -1.26594867478248,48.79,50.16,-0.69
ALCAR,930.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 888.70 (%4.4 altta),-,924.50-1010.00 (fiyat bandın içinde!),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 10.2006013508809,68.99,86.43,0.88
ALCTL,150.7,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 150.21 (%0.3 altta),122.00-129.30 (%14.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 14.72432512626256,50.65,34.07,-0.78
ALFAS,46.48,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 46.34 (%0.3 altta) | EMA100 Direnç: 47.29 (%1.8 üstte),35.98-36.78 (%20.9 altta),-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 0.2965343550244359,41.53,65.75,-0.76
ALGYO,3.58,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 3.54 (%1.0 altta) | EMA21 Direnç: 4.11 (%14.7 üstte),2.86-2.95 (%17.6 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -24.51410979638633,28.09,74.94,-0.9
ALKA,9.13,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 9.04 (%1.0 altta) | EMA21 Direnç: 9.33 (%2.1 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -13.12945189036575,40.27,80.03,-0.82
ALKIM,17.95,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 17.70 (%1.4 altta) | EMA55 Direnç: 18.00 (%0.3 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -1.7789455636064266,52.54,55.13,-0.58
ALKLC,398.5,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 387.70 (%2.7 altta),66.90-70.55 (%82.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 60.60353906545151,72.04,100.0,0.94
ALTNY,15.73,🔴 Düşüş Trendinde,🔴 SAT,-,-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 15.86 (%0.9 üstte),14.21-14.53 (%7.6 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -4.644083479279349,44.34,16.56,-0.46
ALVES,2.48,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.48 (%0.2 altta) | EMA21 Direnç: 2.60 (%4.9 üstte),2.40-2.46 (%0.7 altta),3.72-4.08 (%50.0 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -17.17501118199587,35.95,16.16,-0.93
ANELE,105.9,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 103.59 (%2.2 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 112.42662371413918,53.91,53.24,-0.57
ANGEN,10.34,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 10.28 (%0.5 altta) | EMA21 Direnç: 10.54 (%1.9 üstte),10.11-10.36 (fiyat bandın içinde!),10.38-11.53 (%0.4 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -8.78598346624896,44.18,19.23,-0.72
ANHYT,102.0,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 101.09 (%0.9 altta) | EMA55 Direnç: 103.62 (%1.6 üstte),-,115.40-120.20 (%13.1 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 3.368597102134707,51.03,43.73,-0.73
ANSGR,27.98,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA55 Destek: 27.77 (%0.7 altta),19.30-19.79 (%29.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 10.451970426937018,52.94,97.02,0.29
ARASE,128.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 123.75 (%3.3 altta),48.94-50.81 (%60.3 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 45.94641582170951,71.01,98.17,0.87
ARCLK,98.85,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 98.28 (%0.6 altta) | EMA21 Direnç: 100.11 (%1.3 üstte),-,112.60-116.70 (%13.9 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -11.787095845719586,43.38,49.79,-0.75
ARDYZ,69.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),📈 TREND DEVAMI (0 Üstü + Hacim),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 67.14 (%3.7 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 53.690355927647595,61.48,71.66,0.89
ARENA,25.2,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 25.50 (%1.2 üstte),24.16-24.84 (%1.4 altta),36.02-39.48 (%42.9 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -15.210116522618488,35.9,4.11,-0.8
ARFYE,32.12,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),📈 TREND DEVAMI (0 Üstü + Hacim),-,-,🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 31.09 (%3.2 altta),23.60-25.36 (%21.0 altta),-,-,61.43,55.08,-0.16
ARMGD,173.9,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 171.75 (%1.2 altta) | EMA5 Direnç: 176.15 (%1.3 üstte),72.05-78.00 (%55.1 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 75.2791646106171,55.97,4.87,-0.01
ARSAN,3.7,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,🚨Fiyat Bandın Üzerinde!,EMA5 Destek: 3.50 (%5.3 altta),-,4.51-4.96 (%21.9 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 9.876505367846743,62.35,94.16,0.51
ARTMS,42.18,🔴 Düşüş Trendinde,🔴 SAT,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 42.13 (%0.1 altta) | EMA55 Direnç: 42.25 (%0.2 üstte),-,-,⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 3.364357680674379,49.48,9.36,-0.73
ARZUM,1.91,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 1.93 (%0.9 üstte),-,5.34-5.47 (%179.6 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -30.844034468205795,36.84,58.42,-0.55
ASELS,352.5,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Destek: 305.54 (%13.3 altta) | EMA5 Direnç: 357.78 (%1.5 üstte),171.28-177.57 (%49.6 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 15.368485094671591,42.28,26.12,-0.19
ASGYO,12.17,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 12.00 (%1.4 altta) | EMA5 Direnç: 12.26 (%0.7 üstte),10.26-10.48 (%13.9 altta),13.75-14.03 (%13.0 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 4.269843923172845,49.21,15.94,-0.22
ASTOR,312.5,🔴 Düşüş Trendinde,🔴 SAT,🩸 SAT (Zirveden Dönüş),-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 308.44 (%1.3 altta) | EMA5 Direnç: 317.05 (%1.5 üstte),-,331.75-363.50 (%6.2 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 50.772176976308955,52.08,72.1,0.76
ASUZU,54.0,🔴 Düşüş Trendinde,⏳ BEKLE,🟢 POTANSİYEL DİP (0 Altı - Hacimsiz),-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 53.77 (%0.4 altta) | EMA21 Direnç: 56.61 (%4.8 üstte),-,65.72-72.87 (%21.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -9.285169181775665,37.52,21.44,-0.92
ATAGY,11.8,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 11.87 (%0.6 üstte),-,13.82-14.20 (%17.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -10.585996467446213,42.92,48.04,-0.11
ATAKP,54.0,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,"📉 Düşüş Hazırlığı (50<100 Kesti, 150 Bekleniyor)",🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA100 Destek: 53.48 (%1.0 altta),-,59.85-61.24 (%10.8 üstte),⚡Fiyat EMA 200'e Yaklaşıyor! Uzaklık: 1.970241714621257,54.8,78.87,-0.08
ATATP,214.9,🟢 Yükseliş Trendinde,⏳ BEKLE,🚀 KUSURSUZ DÖNÜŞ (0 Altı + Hacim),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 214.02 (%0.4 altta),138.94-141.63 (%34.1 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 27.249541866822447,51.05,16.87,-0.43
ATATR,16.26,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,-,-,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 16.04 (%1.4 altta),-,-,-,51.05,66.67,-0.35
ATEKS,125.8,🟢 Yükseliş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 125.09 (%0.6 altta),79.45-87.90 (%30.1 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 26.61056862026907,53.72,8.87,-0.22
ATLAS,8.24,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🚨 BB SIKIŞMA,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 8.07 (%2.0 altta),5.80-5.97 (%27.5 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 11.554241640154395,55.35,83.31,0.26
ATSYH,129.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,🔴 ZİRVEDE,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 122.90 (%4.7 altta),48.64-50.00 (%61.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 74.97601781856866,73.19,58.57,0.78
