Varlık,Fiyat,Supertrend_Sinyal,Tilson_Sinyal,Hacim_SMI,Kombine_Dip,SSL&EMA_Sinyal,BB_Sikisma,BB_Fiyat_Durum,Destek_Direnc,Alim_Bandi,Satim_Bandi,EMA_200_Durumu,RSI,StochRSI,TSI
HDFGS,2.63,🟢 Yükseliş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 2.63 (%0.0 altta) | EMA21 Direnç: 2.67 (%1.7 üstte),-,3.50-3.92 (%33.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -13.267996098769153,46.79,42.87,0.08
HEDEF,194.8,🟢 Yükseliş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 189.26 (%2.8 altta),32.59-34.60 (%82.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 147.96955103989467,90.19,70.93,0.95
HEKTS,3.16,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,"⚡ Yükseliş Hazırlığı (50>100 Kesti, 150 Bekleniyor)",⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 3.10 (%1.8 altta) | EMA21 Direnç: 3.34 (%5.8 üstte),2.76-2.88 (%8.9 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -11.495590731321304,39.49,64.22,-0.8
HKTM,10.75,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 10.65 (%1.0 altta) | EMA21 Direnç: 11.52 (%7.1 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -15.419046918063707,35.76,76.37,-0.19
HLGYO,5.65,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA21 Destek: 5.62 (%0.6 altta),3.33-3.43 (%39.4 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 21.756920982566964,51.38,61.85,-0.55
HOROZ,64.95,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 64.94 (%0.0 altta) | EMA200 Direnç: 65.34 (%0.6 üstte),53.50-55.05 (%15.2 altta),-,🟢Fiyat EMA 200 altında! Uzaklık: -0.5947485421765597,46.43,61.92,-0.37
HRKET,101.6,🔴 Düşüş Trendinde,🔥 GÜÇLÜ AL (Taze Kırılım),-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Destek: 99.75 (%1.8 altta) | EMA21 Direnç: 103.38 (%1.8 üstte),70.10-76.00 (%25.2 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 19.61227645147654,48.65,48.16,-0.74
HTTBT,37.76,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 37.85 (%0.2 üstte),-,47.22-48.84 (%25.1 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -12.372208095680692,38.89,16.67,-0.85
HUBVC,2.86,🔴 Düşüş Trendinde,🔴 SAT,-,-,🔴 Ayı Piyasası (EMA 50 En Altta),🚨 BB SIKIŞMA,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 2.91 (%1.6 üstte),2.47-2.52 (%11.9 altta),2.88-3.20 (%0.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -11.557454717500438,41.73,60.9,0.18
HUNER,3.94,🔥 AL (Taze Kırılım),🔥 GÜÇLÜ AL (Taze Kırılım),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA21 Destek: 3.69 (%6.4 altta),2.93-3.01 (%23.6 altta),4.16-4.26 (%5.6 üstte),⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 8.73160765804435,56.63,39.16,-0.63
HURGZ,6.3,🔴 Düşüş Trendinde,⏳ BEKLE,-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA5 Direnç: 6.31 (%0.2 üstte),-,-,🟢Fiyat EMA 200 altında! Uzaklık: -6.9733269283852595,37.89,34.84,-0.57
ICBCT,20.36,🔴 Düşüş Trendinde,🔴 SAT,-,-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),🟡 Normal Genişlik,⚪Fiyat Alt_Orta Bant Aralığında,EMA55 Destek: 20.08 (%1.4 altta) | EMA5 Direnç: 20.49 (%0.6 üstte),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 17.53166615528199,46.72,5.23,-0.55
ICUGS,5.75,🔴 Düşüş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),🟠 Daralıyor,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 5.68 (%1.2 altta),2.61-2.76 (%52.0 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 35.71557628263158,53.89,59.86,0.34
IDGYO,4.39,🟢 Yükseliş Trendinde,🔴 SAT,🔴 ZAYIFLAMA (Zaten Dipte),-,⚠️ Yükseliş Trendinde Düzeltme (SSL Negatif),⚪ Yelpaze Açık,⚪Fiyat Alt_Orta Bant Aralığında,EMA100 Destek: 4.30 (%2.1 altta) | EMA55 Direnç: 4.49 (%2.2 üstte),3.53-3.84 (%12.5 altta),-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 8.118526664035986,44.15,11.9,-0.83
IEYHO,160.0,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),-,-,🟢 EMA Yükselişte (SSL Ok Bekleniyor),⚪ Yelpaze Açık,🟡Fiyat Orta-Üst Bant Aralığında,EMA5 Destek: 158.72 (%0.8 altta),-,-,⚠️Fiyat EMA 200 Üzerinde! Uzaklık: 88.13471132308652,86.45,33.1,0.94
IHAAS,59.75,🟢 Yükseliş Trendinde,🟢 AL (Trend Onaylı),🩸 SAT (Zirveden Dönüş),-,⚪ Karışık / Testere Piyasası,🟠 Daralıyor,⚪Fiyat Alt_Orta Bant Aralığında,EMA200 Direnç: 60.90 (%1.9 üstte),40.12-44.40 (%25.7 altta),102.00-106.00 (%70.7 üstte),🟢Fiyat EMA 200 altında! Uzaklık: -1.8876280639061327,42.72,69.92,0.42
